Age,Gender,Salary,Department,JobRole,Overtime,Experience,WorkLifeBalance,JobSatisfaction,Attrition
48,Female,142524,Management,Associate,No,7,4,5,No
23,Female,108197,Management,Lead,Yes,19,2,3,No
56,Male,47571,Sales,Executive,Yes,13,4,3,Yes
39,Female,129696,HR,Manager,No,6,3,4,Yes
35,Male,85971,IT,Lead,Yes,2,2,1,No
41,Female,121655,Support,Lead,Yes,24,3,2,No
39,Male,81797,Sales,Manager,No,18,1,5,No
31,Male,63937,Support,Director,Yes,13,1,2,No
46,Female,137618,Support,Director,No,18,4,3,No
23,Male,79643,Management,Associate,No,9,4,2,Yes
46,Female,102054,Sales,Executive,No,11,3,5,No
54,Male,114026,Sales,Manager,Yes,17,1,3,No
57,Female,106538,IT,Executive,No,18,3,5,No
52,Female,127299,HR,Director,No,23,4,2,No
35,Male,80051,Support,Manager,No,17,3,3,No
22,Female,87902,IT,Developer,Yes,12,4,3,No
37,Female,97903,IT,Associate,Yes,16,1,5,No
24,Female,96990,Support,Developer,No,20,2,1,No
56,Male,95204,Management,Director,No,23,3,3,Yes
27,Male,88951,Management,Manager,Yes,5,4,5,No
46,Female,117309,Support,Director,No,15,2,5,Yes
34,Female,145341,Sales,Manager,Yes,17,2,5,No
55,Male,146822,HR,Executive,No,8,1,1,No
29,Male,95768,Management,Manager,Yes,12,4,4,No
42,Female,49039,HR,Director,No,3,3,3,Yes
55,Male,135694,IT,Executive,No,12,2,2,No
25,Male,142596,IT,Executive,Yes,2,4,5,No
46,Female,45568,Support,Manager,Yes,3,4,2,Yes
36,Male,57459,Support,Executive,Yes,18,2,5,No
25,Male,27669,Support,Director,No,23,1,5,No
33,Male,109749,Management,Associate,Yes,0,4,3,No
53,Female,103816,HR,Developer,Yes,0,1,1,Yes
53,Male,104985,IT,Manager,Yes,8,2,1,No
49,Female,55516,HR,Executive,Yes,22,2,2,Yes
34,Male,82484,Management,Executive,Yes,24,1,4,No
52,Male,108612,HR,Director,Yes,2,1,1,No
35,Female,149269,HR,Executive,No,2,1,1,No
41,Female,149306,Support,Executive,Yes,17,3,4,Yes
39,Female,88197,HR,Associate,Yes,1,1,1,No
50,Female,137666,HR,Manager,Yes,10,1,3,Yes
27,Male,43333,HR,Manager,No,8,1,3,No
53,Female,108295,Sales,Director,Yes,1,3,2,Yes
50,Female,75611,IT,Associate,No,19,4,2,No
23,Female,67941,IT,Associate,Yes,3,3,2,No
44,Male,144703,HR,Associate,No,8,4,3,Yes
40,Male,129903,Support,Manager,Yes,13,1,2,Yes
52,Female,58875,Support,Lead,No,18,1,2,No
26,Female,148975,Support,Director,No,15,3,3,Yes
40,Female,32698,IT,Director,Yes,13,3,4,No
55,Female,116500,Management,Developer,No,14,2,2,Yes
31,Male,81826,HR,Associate,Yes,17,3,1,Yes
46,Female,51408,IT,Associate,No,14,3,3,No
23,Male,144628,Support,Manager,No,18,1,4,No
32,Female,108421,IT,Director,No,8,1,1,No
52,Female,98845,IT,Manager,No,20,1,1,Yes
36,Male,120965,IT,Developer,Yes,20,3,5,Yes
30,Female,35133,Support,Executive,Yes,15,2,4,No
44,Female,140853,Management,Manager,Yes,22,1,5,No
40,Female,93746,Sales,Developer,No,16,2,3,No
30,Female,56126,HR,Manager,No,9,2,4,Yes
56,Male,53043,HR,Manager,Yes,4,3,5,Yes
42,Female,24078,IT,Manager,Yes,8,3,3,Yes
30,Female,73906,Management,Lead,Yes,13,1,2,No
49,Male,31137,Support,Lead,No,21,4,1,No
28,Female,147527,Sales,Associate,No,23,3,3,Yes
37,Male,49350,Sales,Lead,Yes,9,2,4,Yes
37,Female,24698,IT,Developer,Yes,23,3,1,Yes
54,Female,53132,IT,Manager,Yes,0,3,1,Yes
25,Female,30165,Support,Lead,No,23,2,3,No
25,Male,20794,Support,Director,No,21,3,2,No
38,Male,33646,Support,Manager,Yes,19,3,3,Yes
58,Female,108715,IT,Executive,Yes,2,1,5,No
50,Male,25870,Management,Associate,No,15,2,5,No
57,Female,118893,IT,Lead,Yes,4,4,5,Yes
59,Male,138982,IT,Director,Yes,12,4,4,Yes
58,Female,50736,Sales,Director,Yes,4,4,3,No
56,Male,122617,Support,Manager,No,22,3,1,No
28,Female,78084,HR,Executive,Yes,24,2,4,Yes
48,Male,36211,Support,Associate,No,10,4,5,No
49,Male,106665,Management,Associate,Yes,16,3,4,No
43,Male,79538,Management,Executive,No,24,4,1,No
35,Male,27377,Support,Lead,No,2,1,4,No
28,Female,28861,Support,Lead,Yes,21,3,2,Yes
58,Female,37821,IT,Manager,No,5,4,5,No
43,Male,98488,HR,Developer,No,15,3,3,No
26,Female,94583,IT,Manager,Yes,19,2,5,Yes
23,Male,46953,Sales,Manager,Yes,1,3,5,Yes
48,Female,147870,Sales,Manager,No,4,2,3,Yes
42,Male,56801,Management,Executive,Yes,18,4,3,Yes
59,Female,38277,Management,Associate,Yes,19,1,1,Yes
36,Female,109439,HR,Associate,Yes,21,4,1,No
42,Male,144066,Management,Developer,Yes,10,4,2,No
31,Male,103762,Sales,Lead,Yes,22,2,4,No
44,Male,42628,HR,Manager,Yes,17,4,4,Yes
26,Male,102246,Sales,Executive,Yes,2,3,4,Yes
22,Male,149350,Support,Executive,No,11,2,5,No
34,Female,47802,Support,Manager,Yes,22,1,5,No
42,Male,83497,HR,Executive,Yes,12,3,3,No
47,Female,104320,IT,Executive,Yes,20,1,2,Yes
42,Male,142794,Management,Manager,Yes,19,4,2,No
39,Female,89814,HR,Developer,Yes,19,1,4,No
58,Female,73702,Management,Executive,Yes,8,4,3,No
53,Male,148645,Sales,Associate,No,8,3,4,No
57,Male,48677,IT,Director,Yes,6,3,5,Yes
38,Female,27500,Management,Associate,No,0,2,3,No
56,Female,24015,Support,Director,No,0,3,4,No
32,Male,107372,Support,Director,No,18,4,2,No
42,Female,138994,Sales,Associate,No,2,2,1,No
47,Female,126546,HR,Manager,Yes,6,4,5,Yes
25,Female,78812,Management,Director,Yes,11,1,4,No
55,Female,27826,Sales,Associate,Yes,15,2,3,Yes
39,Female,29201,Support,Lead,No,12,4,3,No
56,Female,49048,Support,Executive,Yes,17,4,4,No
50,Male,141471,Support,Developer,No,23,3,2,Yes
50,Male,39941,IT,Director,No,16,2,4,Yes
59,Male,100641,IT,Associate,Yes,23,4,5,Yes
42,Male,78418,Support,Manager,No,8,3,3,No
34,Female,85689,HR,Director,Yes,13,1,5,Yes
38,Male,61541,IT,Developer,No,4,2,1,No
30,Female,69939,Management,Manager,No,10,2,2,Yes
22,Female,90422,IT,Developer,Yes,19,2,4,No
23,Male,138069,Management,Developer,No,5,2,4,Yes
50,Male,43950,IT,Executive,Yes,5,4,2,Yes
54,Female,140965,Support,Director,Yes,23,1,3,Yes
31,Male,87803,Management,Director,Yes,7,3,4,No
42,Male,40642,HR,Director,No,0,4,2,No
49,Female,86506,IT,Developer,Yes,8,4,4,No
32,Female,61607,IT,Lead,Yes,9,2,3,No
55,Female,51288,Support,Lead,Yes,16,4,2,Yes
29,Female,132117,Management,Lead,Yes,2,1,3,No
43,Female,102865,Support,Manager,No,22,4,4,Yes
29,Female,147664,Management,Executive,Yes,20,4,2,No
36,Male,34450,IT,Manager,Yes,21,3,1,Yes
38,Male,25618,IT,Director,Yes,12,4,4,Yes
44,Male,142879,IT,Director,Yes,7,1,2,No
45,Female,54263,IT,Associate,Yes,19,2,1,No
40,Female,87583,Sales,Director,No,13,2,2,No
26,Male,94900,IT,Lead,Yes,19,1,5,No
53,Male,48794,IT,Executive,No,7,2,5,No
22,Male,33091,Management,Lead,Yes,18,2,2,Yes
44,Female,88422,IT,Executive,No,12,4,2,No
58,Male,107108,IT,Manager,Yes,5,1,5,No
29,Male,35161,Management,Director,No,3,3,4,Yes
34,Male,24158,IT,Manager,No,5,4,5,No
29,Female,143612,IT,Lead,Yes,19,1,5,No
44,Male,47663,Support,Developer,No,1,4,5,No
22,Male,105381,Sales,Executive,Yes,9,1,3,No
45,Female,26733,Management,Director,Yes,10,2,4,Yes
56,Female,119961,Support,Associate,No,10,3,3,No
45,Female,123347,HR,Developer,No,2,4,4,No
38,Female,52001,HR,Manager,No,10,2,3,Yes
26,Female,59128,Sales,Executive,Yes,7,1,3,No
41,Male,69630,HR,Developer,No,16,4,2,No
42,Male,29329,Sales,Associate,No,21,3,5,No
52,Female,73105,HR,Developer,No,24,3,2,No
57,Female,83436,HR,Associate,Yes,0,4,2,No
32,Female,148379,Support,Manager,Yes,15,2,2,No
36,Female,143856,HR,Executive,No,19,3,1,No
40,Male,110348,Sales,Manager,No,6,4,4,Yes
28,Male,112635,IT,Executive,No,21,4,2,No
49,Female,89579,IT,Developer,Yes,21,4,2,No
26,Female,34242,IT,Manager,No,24,1,1,Yes
26,Female,118901,Sales,Executive,No,7,3,1,Yes
51,Female,111814,Sales,Director,Yes,12,4,5,No
53,Male,145056,IT,Associate,Yes,4,1,2,No
29,Female,47133,HR,Executive,No,17,1,4,Yes
31,Female,44740,IT,Director,No,11,1,2,Yes
59,Male,120628,Management,Manager,Yes,15,2,5,No
53,Female,50976,Sales,Manager,No,2,2,2,No
49,Male,60067,Management,Developer,Yes,11,4,1,Yes
38,Female,31231,Management,Associate,No,18,2,1,No
52,Female,86105,Sales,Executive,No,19,3,5,Yes
29,Male,23328,IT,Manager,No,17,3,5,No
46,Female,134828,Support,Executive,Yes,7,4,1,No
30,Male,45261,Management,Lead,No,23,4,1,No
23,Male,45262,IT,Associate,Yes,12,3,2,Yes
36,Male,23280,Support,Associate,No,7,4,5,No
24,Female,104683,Management,Director,Yes,9,4,2,No
57,Female,51742,IT,Lead,No,13,4,1,No
25,Male,23590,Management,Associate,Yes,14,2,4,No
35,Female,136726,IT,Lead,Yes,20,4,5,No
46,Female,70226,HR,Executive,No,14,4,2,Yes
31,Female,107542,HR,Lead,Yes,5,1,5,Yes
42,Male,33570,Sales,Developer,No,13,1,4,No
57,Male,120529,Support,Director,No,5,4,3,Yes
33,Female,115129,Management,Lead,No,22,2,1,No
48,Male,133182,Management,Executive,Yes,0,1,4,No
23,Female,109443,IT,Associate,No,9,1,3,No
34,Female,29533,Support,Developer,No,18,4,2,No
53,Female,128185,Management,Lead,No,10,2,4,No
52,Male,145890,Support,Director,Yes,2,4,3,No
37,Male,102283,Support,Director,No,22,1,4,No
53,Female,33366,HR,Executive,No,5,2,3,Yes
53,Male,133819,Management,Developer,No,8,4,2,Yes
55,Female,143947,Management,Developer,No,24,3,2,No
32,Male,96368,Sales,Developer,Yes,8,1,2,No
31,Male,48325,Support,Lead,No,3,4,2,No
36,Male,54798,IT,Executive,No,2,2,2,No
38,Female,59453,HR,Executive,No,19,3,3,Yes
39,Female,42849,Sales,Executive,Yes,18,4,2,Yes
30,Female,75943,HR,Manager,No,22,4,4,Yes
46,Male,26157,IT,Associate,No,10,1,4,No
35,Female,131972,Sales,Executive,No,18,4,2,Yes
46,Female,50178,HR,Manager,No,16,3,4,No
43,Female,102537,IT,Manager,No,7,4,2,No
51,Female,49030,Sales,Developer,No,5,1,4,No
41,Male,140125,IT,Associate,Yes,4,3,5,No
42,Male,146026,Sales,Developer,Yes,7,3,1,No
53,Female,71134,Management,Associate,No,7,1,4,No
42,Male,140398,Management,Developer,Yes,2,2,4,Yes
56,Male,85729,HR,Director,Yes,18,3,1,No
53,Male,28164,Support,Lead,Yes,15,2,5,No
51,Male,106378,Support,Associate,No,9,3,1,No
33,Male,21119,IT,Director,No,22,3,4,No
39,Female,33351,Sales,Manager,Yes,2,1,2,Yes
42,Male,76063,Management,Manager,No,8,4,5,No
34,Female,92076,Support,Associate,Yes,7,3,4,No
42,Female,65162,Management,Developer,No,7,4,2,No
29,Female,51760,IT,Lead,Yes,24,3,2,No
28,Male,69678,IT,Lead,No,7,2,5,No
44,Male,112064,Sales,Executive,No,19,4,4,No
53,Male,109074,Support,Associate,Yes,6,2,3,No
32,Male,139567,IT,Lead,No,13,4,2,No
43,Female,117778,IT,Developer,No,21,4,1,No
43,Female,67628,Management,Developer,Yes,16,2,3,No
46,Female,111894,HR,Manager,No,11,1,1,Yes
43,Male,124149,Support,Lead,Yes,4,2,5,No
49,Female,60739,Sales,Lead,Yes,1,1,2,No
50,Female,49738,Sales,Developer,Yes,24,1,2,Yes
34,Female,137361,Management,Manager,Yes,14,4,5,Yes
39,Male,66921,Sales,Lead,No,10,2,2,No
23,Female,142448,IT,Developer,No,14,3,3,No
50,Female,145277,Support,Manager,Yes,12,3,3,No
42,Male,81068,Sales,Manager,No,18,2,5,No
36,Female,43581,Support,Developer,No,11,3,4,No
48,Male,115672,Sales,Manager,No,14,1,2,No
52,Female,41485,HR,Director,No,11,2,3,No
36,Male,112701,HR,Director,Yes,22,1,1,Yes
44,Male,56294,Support,Manager,No,17,4,2,No
45,Male,73001,HR,Executive,Yes,22,2,3,No
34,Female,21634,HR,Manager,Yes,3,3,3,Yes
43,Female,63969,IT,Lead,No,10,3,3,No
58,Male,20093,Sales,Manager,No,21,1,4,No
54,Male,48370,HR,Lead,No,14,4,5,No
24,Male,39750,Support,Developer,Yes,24,3,4,No
40,Male,126020,IT,Manager,Yes,23,3,1,No
44,Male,132635,HR,Developer,No,24,4,1,No
50,Male,137634,Support,Associate,No,4,1,5,No
51,Male,36472,Sales,Director,Yes,4,1,5,No
46,Male,132545,HR,Manager,Yes,19,4,3,Yes
58,Male,38934,Support,Developer,No,24,4,1,No
29,Male,63774,Support,Associate,No,9,1,3,No
37,Male,108057,Management,Lead,No,23,2,5,No
29,Male,59125,Support,Lead,Yes,21,1,1,No
22,Female,86981,Management,Director,Yes,9,2,3,No
26,Male,106541,Sales,Director,No,21,2,2,No
24,Female,59103,Sales,Lead,Yes,5,2,2,Yes
22,Female,103750,IT,Lead,Yes,5,1,3,Yes
25,Female,80085,Management,Lead,Yes,22,4,4,No
56,Male,108705,Support,Executive,No,5,2,3,No
53,Female,76543,IT,Director,No,23,4,1,No
55,Male,36938,IT,Developer,No,6,4,5,No
46,Female,97492,Sales,Associate,Yes,17,3,3,No
31,Male,71586,Support,Associate,Yes,3,4,1,No
42,Male,78024,Management,Manager,No,13,1,1,No
48,Female,59687,Sales,Developer,No,10,1,2,No
48,Female,91129,IT,Director,Yes,6,2,3,No
23,Male,46207,HR,Executive,No,17,1,4,Yes
34,Female,69354,IT,Executive,Yes,19,2,4,No
30,Male,125457,HR,Developer,No,1,1,5,No
57,Male,57310,Sales,Lead,No,1,2,5,No
43,Male,68960,Management,Lead,No,6,1,2,Yes
47,Female,81262,Support,Developer,Yes,10,1,3,No
33,Male,117155,HR,Director,No,17,2,5,Yes
38,Male,146019,Support,Associate,No,19,4,3,No
35,Male,33403,Sales,Lead,No,6,3,4,No
35,Male,33065,Sales,Manager,Yes,21,1,1,Yes
55,Female,109930,Sales,Director,Yes,19,4,4,No
41,Female,46801,Management,Director,No,24,3,2,Yes
32,Female,128182,HR,Executive,No,4,3,3,Yes
37,Female,119132,Support,Lead,No,1,1,1,No
52,Male,49230,IT,Associate,No,13,4,1,No
27,Male,92706,Sales,Director,No,6,1,2,No
40,Male,103942,Support,Lead,Yes,9,2,1,No
58,Male,110214,Support,Lead,Yes,17,2,3,No
25,Male,49968,Management,Executive,Yes,7,3,4,No
25,Male,62517,HR,Manager,No,22,2,3,No
41,Female,138899,Management,Director,Yes,15,4,5,Yes
31,Male,139642,Management,Manager,No,13,2,1,No
45,Male,73239,Support,Associate,Yes,8,2,1,No
56,Male,52655,HR,Developer,No,5,4,3,Yes
47,Female,112623,HR,Developer,Yes,6,4,2,No
58,Male,142983,HR,Developer,No,8,2,3,No
59,Male,149282,Sales,Associate,Yes,6,4,4,No
42,Male,82771,HR,Director,Yes,8,1,2,No
42,Female,146318,Support,Lead,No,23,2,1,Yes
31,Male,65984,Sales,Manager,No,20,3,1,No
59,Male,31049,IT,Manager,No,6,4,2,No
25,Female,92321,Management,Lead,No,11,4,2,No
41,Male,127302,HR,Director,No,22,1,2,No
38,Female,141854,IT,Manager,Yes,16,1,1,No
28,Male,84813,HR,Director,Yes,19,3,1,No
25,Female,24655,Management,Manager,Yes,20,1,1,Yes
50,Male,103994,Support,Developer,No,11,1,1,Yes
35,Male,149531,Support,Developer,Yes,21,3,1,No
24,Female,110638,Management,Executive,Yes,22,2,3,No
45,Male,92454,IT,Executive,Yes,4,1,3,No
58,Male,88972,Sales,Manager,Yes,17,2,3,No
37,Female,41432,Sales,Developer,No,4,3,2,Yes
25,Male,110409,HR,Director,No,4,1,1,No
45,Female,123176,Management,Executive,Yes,6,4,3,Yes
55,Male,85896,Management,Executive,Yes,2,2,2,No
51,Female,130213,Sales,Developer,Yes,0,3,4,No
39,Male,90135,IT,Director,Yes,5,4,5,Yes
40,Male,62936,Management,Executive,Yes,6,1,4,Yes
52,Female,125035,Support,Lead,Yes,7,1,4,No
40,Male,120381,Support,Director,No,13,2,5,No
40,Female,33750,Management,Lead,Yes,22,1,2,Yes
43,Female,47987,IT,Developer,Yes,14,4,5,No
45,Female,136861,Support,Developer,Yes,6,2,2,Yes
33,Male,122995,IT,Executive,Yes,6,2,4,Yes
51,Male,46165,Sales,Manager,Yes,0,1,5,No
59,Male,70541,HR,Associate,Yes,8,3,4,No
52,Female,44346,Sales,Lead,Yes,24,4,5,Yes
57,Female,140659,HR,Lead,Yes,6,1,5,No
40,Female,23514,Support,Director,Yes,24,3,1,Yes
57,Male,44838,HR,Director,Yes,19,2,3,Yes
51,Female,47559,HR,Developer,No,6,2,3,Yes
54,Male,121223,Management,Manager,Yes,17,1,4,No
39,Male,117501,HR,Developer,Yes,13,4,4,No
49,Male,79207,Management,Executive,No,21,1,4,No
32,Male,36385,HR,Manager,Yes,14,1,1,Yes
54,Male,38317,Management,Executive,Yes,17,2,1,Yes
38,Male,20393,Support,Lead,Yes,9,4,4,No
27,Male,44881,Support,Developer,Yes,2,1,1,Yes
25,Male,131761,HR,Director,No,10,3,5,No
41,Female,118833,IT,Developer,Yes,0,3,5,No
48,Male,139311,Support,Associate,Yes,22,4,5,No
36,Male,47955,Sales,Manager,Yes,1,2,3,Yes
27,Female,78308,Sales,Lead,Yes,15,2,5,No
35,Female,130515,Management,Associate,Yes,2,4,3,No
32,Female,78014,IT,Associate,No,16,1,5,No
30,Female,138756,Management,Developer,No,2,1,4,No
47,Male,142195,HR,Manager,Yes,10,3,3,No
37,Female,85430,Support,Developer,No,3,3,1,No
26,Female,92031,IT,Manager,No,6,4,3,No
31,Female,125257,Management,Associate,No,21,2,2,No
24,Female,149232,Management,Executive,Yes,15,4,3,No
34,Male,106973,Sales,Lead,Yes,16,1,5,No
51,Female,79596,HR,Associate,No,10,1,5,No
27,Female,137360,Management,Developer,No,3,4,5,No
38,Female,21713,Sales,Lead,Yes,24,1,1,Yes
40,Female,40428,IT,Associate,No,2,1,4,Yes
56,Male,82160,Management,Manager,Yes,21,3,3,No
47,Female,86171,Sales,Developer,Yes,15,1,1,No
26,Female,139822,HR,Associate,No,1,3,2,No
50,Female,100729,Support,Manager,Yes,4,2,3,Yes
58,Male,80843,IT,Manager,No,24,4,5,No
41,Female,43003,Management,Manager,No,17,1,1,Yes
42,Female,100169,Sales,Lead,No,2,3,1,No
31,Male,114764,Management,Developer,Yes,1,3,3,No
26,Female,62077,Support,Manager,No,1,4,1,No
57,Male,46730,Management,Associate,Yes,21,3,1,Yes
27,Male,134082,Management,Manager,No,21,1,1,No
47,Female,92981,Sales,Developer,Yes,20,3,3,No
25,Female,130719,Support,Director,No,1,3,5,No
56,Male,99817,IT,Director,No,15,2,1,No
22,Male,92138,Sales,Lead,Yes,0,1,1,Yes
45,Female,85573,Support,Manager,Yes,18,4,4,No
57,Male,128128,Support,Associate,No,18,3,2,Yes
27,Male,48869,Management,Developer,Yes,8,3,4,No
52,Female,122079,HR,Manager,No,19,1,5,No
41,Male,51076,HR,Lead,No,8,1,4,No
45,Male,112166,IT,Executive,Yes,10,3,3,No
46,Male,106005,Management,Director,Yes,0,1,4,Yes
57,Male,117835,HR,Associate,No,18,4,3,Yes
42,Male,146283,Sales,Director,No,16,1,4,No
51,Male,45094,IT,Manager,No,5,4,4,No
45,Female,46817,Management,Manager,No,0,4,2,No
51,Male,30555,Sales,Executive,Yes,17,1,3,Yes
43,Female,90656,HR,Developer,No,8,4,5,No
49,Female,148061,HR,Executive,Yes,0,1,1,Yes
28,Female,100214,HR,Developer,No,3,1,5,Yes
56,Female,141432,HR,Manager,Yes,21,3,4,Yes
49,Female,70193,Support,Executive,No,17,3,5,No
35,Female,24715,IT,Director,Yes,16,2,4,Yes
31,Female,54162,IT,Director,No,19,2,4,No
37,Female,121173,HR,Manager,Yes,18,1,1,Yes
37,Male,117858,IT,Executive,Yes,22,4,2,No
52,Female,121980,Sales,Manager,Yes,22,1,2,No
46,Female,122025,Sales,Director,No,13,3,1,No
34,Female,146652,IT,Director,Yes,6,2,5,Yes
27,Male,58458,HR,Manager,Yes,8,1,3,No
30,Female,124122,Management,Manager,No,24,4,1,No
57,Male,118538,HR,Lead,No,19,4,4,Yes
41,Female,23140,Support,Executive,No,8,1,2,No
39,Female,94174,Management,Lead,Yes,14,2,2,No
42,Male,131201,Support,Manager,Yes,10,2,5,Yes
25,Female,142887,IT,Associate,Yes,6,1,3,No
54,Male,147437,Support,Director,Yes,5,4,1,No
48,Male,37383,IT,Developer,No,8,2,4,No
28,Female,37718,Support,Executive,Yes,3,2,4,No
27,Female,126629,Management,Executive,No,16,2,3,No
36,Male,96160,Support,Director,Yes,5,3,5,Yes
39,Male,77399,HR,Developer,No,16,1,3,No
53,Female,107008,IT,Lead,No,24,2,5,Yes
32,Female,41863,Sales,Developer,Yes,13,2,5,No
41,Female,91626,Support,Associate,Yes,4,1,1,No
45,Male,31377,IT,Manager,Yes,17,3,1,Yes
36,Female,103031,Sales,Developer,No,7,4,4,Yes
28,Male,149161,IT,Developer,No,9,4,2,No
42,Female,80523,IT,Manager,Yes,10,1,5,No
47,Male,144403,Sales,Director,No,21,2,4,No
35,Male,34870,Sales,Executive,Yes,2,2,2,Yes
58,Female,77487,Management,Director,Yes,1,4,4,No
42,Male,39300,Support,Associate,Yes,13,4,5,No
39,Male,75951,Support,Director,Yes,3,1,2,No
26,Male,87639,IT,Developer,No,16,3,3,Yes
24,Male,110731,HR,Developer,Yes,16,1,1,No
44,Male,144766,HR,Executive,No,20,1,1,No
47,Female,123429,IT,Associate,No,8,1,2,No
58,Female,149565,Management,Manager,No,20,3,2,No
45,Male,92126,Sales,Manager,No,21,1,5,No
40,Female,62980,IT,Lead,No,8,1,2,No
46,Male,127904,Support,Associate,Yes,2,1,1,No
42,Male,52050,HR,Associate,No,3,2,5,No
33,Female,22921,HR,Developer,Yes,1,3,4,No
54,Male,90270,HR,Lead,Yes,13,2,1,Yes
25,Male,105293,Management,Manager,Yes,19,2,3,No
28,Male,50328,Support,Associate,Yes,7,4,5,No
43,Female,80820,Management,Associate,No,17,1,3,No
54,Female,43138,Sales,Executive,No,3,2,2,No
38,Male,101573,IT,Manager,Yes,7,1,4,No
45,Male,119140,IT,Executive,Yes,6,1,2,Yes
55,Male,32094,HR,Lead,Yes,24,1,1,Yes
49,Male,85264,HR,Associate,Yes,14,2,4,No
43,Male,144465,Sales,Lead,Yes,14,4,1,No
38,Female,147755,Management,Director,Yes,1,3,4,No
55,Female,29028,Support,Executive,No,3,4,3,No
27,Female,129053,Sales,Manager,No,24,1,1,No
27,Female,35432,IT,Associate,No,21,4,1,No
55,Male,63819,IT,Director,No,24,4,2,No
22,Male,108627,Management,Director,Yes,8,4,5,No
31,Female,147240,Sales,Manager,No,22,3,1,Yes
42,Female,101122,Support,Lead,No,6,4,4,No
26,Male,25312,Sales,Director,Yes,23,3,2,Yes
23,Female,45973,Sales,Developer,No,17,2,5,No
43,Male,122126,Management,Manager,Yes,11,4,1,No
23,Male,75305,Support,Director,Yes,13,1,3,Yes
31,Male,48973,IT,Manager,Yes,6,2,2,Yes
55,Female,64390,HR,Manager,Yes,5,3,3,No
37,Female,36099,Support,Associate,Yes,22,3,4,No
43,Female,148953,IT,Lead,No,21,4,2,No
33,Female,69956,Management,Lead,Yes,18,3,2,No
45,Female,119379,Support,Associate,No,20,4,2,Yes
59,Male,34063,Support,Manager,Yes,18,1,5,No
31,Female,114306,IT,Manager,Yes,21,1,5,No
56,Male,112752,IT,Developer,Yes,14,2,1,Yes
53,Male,113196,Sales,Director,No,18,3,3,No
28,Male,101919,Sales,Manager,Yes,11,1,1,Yes
42,Female,29605,Support,Director,No,1,3,3,No
41,Female,116185,HR,Executive,No,10,1,1,Yes
47,Female,122756,Management,Director,No,12,2,2,No
25,Female,136351,IT,Manager,Yes,3,4,2,No
43,Female,118095,Sales,Developer,No,24,4,3,No
36,Female,145855,Management,Executive,Yes,0,3,2,No
42,Female,130602,Support,Developer,Yes,23,1,1,No
36,Female,97904,IT,Director,Yes,20,2,5,No
43,Male,92964,IT,Developer,Yes,1,2,4,Yes
49,Female,71205,Sales,Director,Yes,13,4,1,No
35,Male,35817,HR,Lead,Yes,24,1,3,Yes
48,Male,22420,IT,Director,No,17,2,2,No
49,Male,104448,HR,Associate,Yes,10,1,4,Yes
47,Male,89853,Management,Developer,Yes,10,3,4,No
23,Female,144820,IT,Manager,No,18,2,2,No
46,Female,109897,IT,Lead,No,16,3,1,No
24,Male,47728,HR,Executive,Yes,16,4,2,Yes
29,Male,144826,Sales,Director,Yes,1,4,5,Yes
54,Male,77858,Support,Associate,No,1,1,3,Yes
56,Female,141915,Management,Lead,No,12,3,2,No
27,Male,126716,IT,Developer,Yes,5,4,1,No
44,Male,69089,Sales,Lead,No,14,4,5,No
46,Female,116604,IT,Manager,No,10,2,5,No
40,Male,118531,Management,Manager,Yes,23,2,1,No
26,Female,104257,Support,Manager,No,3,2,3,No
32,Female,48964,IT,Associate,No,18,2,4,No
33,Male,117065,HR,Lead,No,13,1,5,No
31,Male,96992,Sales,Lead,No,17,3,1,No
29,Male,119259,Support,Developer,No,16,1,5,No
45,Female,136185,IT,Executive,No,7,2,4,No
49,Female,62240,Support,Manager,Yes,12,3,1,No
57,Female,120282,HR,Executive,Yes,22,4,5,No
58,Male,103449,IT,Executive,Yes,14,2,1,No
42,Male,32675,Support,Manager,No,10,3,1,No
29,Male,137350,IT,Manager,No,15,3,4,No
30,Male,117677,IT,Developer,Yes,17,2,1,No
36,Male,112525,Support,Associate,No,11,1,3,No
39,Male,80049,IT,Manager,Yes,22,2,5,Yes
41,Female,141121,HR,Executive,No,11,3,2,No
27,Female,101664,Support,Developer,No,5,1,3,No
33,Female,68436,Support,Lead,No,23,1,3,No
23,Male,60213,HR,Developer,Yes,5,1,1,No
28,Female,48111,HR,Manager,Yes,3,1,3,Yes
37,Female,24284,HR,Director,Yes,23,3,3,Yes
24,Female,111029,IT,Manager,Yes,0,3,3,No
24,Male,37585,IT,Associate,Yes,16,2,1,Yes
48,Male,85039,Management,Developer,No,3,3,3,No
59,Female,115131,IT,Manager,No,16,2,2,No
54,Male,27131,HR,Executive,No,4,4,3,No
49,Male,63382,Management,Executive,No,24,3,1,Yes
22,Male,111733,HR,Developer,Yes,8,2,1,No
29,Male,53527,Sales,Associate,Yes,24,1,4,Yes
58,Female,107493,Support,Director,Yes,5,1,4,No
53,Male,50936,Sales,Developer,No,11,3,2,No
58,Female,107081,HR,Associate,Yes,16,4,5,Yes
25,Female,73441,IT,Executive,Yes,20,1,4,No
51,Male,74598,Support,Manager,No,9,2,3,No
27,Male,99220,IT,Lead,No,1,2,1,No
40,Male,127984,IT,Manager,Yes,0,1,4,No
53,Female,40642,Support,Executive,Yes,12,1,1,Yes
30,Female,89907,Support,Director,Yes,20,1,3,No
33,Female,32651,Sales,Executive,No,20,4,1,Yes
32,Female,21665,HR,Manager,No,0,4,1,No
